De,Ru,Priority,Learned,Skip
eigentlich,вообще-то / собственно говоря,3,9,
ein,,9,0,-
eine,,9,0,-
einem,,9,0,-
einen,,9,0,-
einer,один / некто,3,9,
eines,,9,0,-
einfach,просто,3,9,
einige,некоторые,3,9,
einmal,однажды / разок,3,9,
eins,единица {ж} [число] / один [при счёте],9,0,-
elf,одиннадцать,9,0,-
empfehlen,советовать,3,9,
entlang,вдоль,1,0,
entweder,либо,3,9,
er,,9,0,-
"er, sie, es arbeitet",,9,0,-
"er, sie, es macht",,9,0,-
"er, sie, es tanzt",,9,0,-
er/sie/es arbeitete,,9,0,-
er/sie/es hat,,9,0,-
er/sie/es hatte,,9,0,-
er/sie/es ist,,9,0,-
er/sie/es lernt,,9,0,-
er/sie/es lernte,,9,0,-
er/sie/es war,,9,0,-
er/sie/es wird sein (haben),,9,0,-
erster,первый,3,9,
es,,9,0,-
essen,есть (кушать),3,0,
etwas,что-то / немного,1,0,
eu,,9,0,-
euch,,9,0,-
euer,"Притяжательные Винительный, ср. род, ihr",9,0,-
euere,"Притяжательные Винительный, мн. число, ihr",9,0,-
euerem,"Притяжательные Дательный, ср. род, ihr",9,0,-
eueren,"Притяжательные Дательный, мн. число, ihr",9,0,-
euerer,"Притяжательные Родительный, мн. число, ihr",9,0,-
eueres,"Притяжательные Родительный, ср. род, ihr",9,0,-
eurer,,9,0,-
fahren,ездить,3,0,
fallen,падать,3,0,
falls,в случае если,3,9,
falsch,неправильно / ложный,3,9,
fangen,ловить,3,9,
fast,почти,1,0,
fast immer,почти всегда,1,0,
fast nie,почти никогда,1,0,
finden,находить / считать,3,0,
fragen,спросить,3,0,
frisch,свежий,3,9,
froh,радостный,3,9,
früh,рано,3,9,
früher,прежде / ранее / раньше,3,9,
frühstücken,завтракать,3,0,
fühlen,чувствовать,3,0,
fünf,пятёрка {ж} / пять,9,0,-
fünfzehn,пятнадцать,9,0,-
fünfzig,пятьдесят,9,0,-
für,для,9,0,-
fürs,für + das (для),9,0,-
ganz,весь / совсем,1,0,
ganze,весь / целый,3,9,
gar,совсем (усиление; часто с отрицанием),1,0,
geben,давать,3,0,
gegen,против,9,0,-
gegenüber,напротив,1,0,
gehen,идти,3,0,
gehen - Gang,,9,0,-
gehören, принадлежать,3,9,
gelb,жёлтый,3,9,
gelegentlich,изредка,1,9,
genau,точно,3,0,
genug,достаточно,3,9,
gerade,прямо / как раз,3,9,
gerecht,справедливый ,3,9,
gerne,охотно / с удовольствием,3,9,
gesamt,весь / общий,3,9,
gestern,вчера,1,0,
gesund,здоровый,3,0,
gewöhnlich,обычно,1,9,
glauben,верить / считать,3,9,
gleich,равно / вот-вот,1,0,
gleichzeitig,одновременно,1,0,
groß,большой/взрослый,1,0,
gruss,приветствие,9,0,-
grün,неспелый / зелёный,3,9,
gut,хорошо,1,0,
gute Laune,хорошее настроение,3,9,
günstig, доступный по цене,3,9,
habe,,9,0,-
haben,,9,0,-
hallo,здравствуйте,9,0,-
halt,просто / вот так,3,0,
halten,держать / останавливаться,3,9,
hast,,9,0,-
hat,,9,0,-
heiß,горячий,3,9,
heißen,называться,3,9,
helfen,помогать,3,0,
hell,яркий ,3,9,
her,сюда,1,0,
herum,вокруг,3,9,
herzen,обнимать,3,0,
herzlich,сердечно,3,0,
heute,сегодня,1,0,
hey,,9,0,-
hier,здесь,1,0,
hin,туда,1,9,
hinter,за,9,0,-
hinterm,hinter + dem (за — местоположение),9,0,-
hitzelevel,,9,0,-
hoch,вверх,1,0,
hundert,сто,9,0,-
hässlich,уродливый,3,9,
häufig,очень часто,1,9,
hören,слышать,3,0,
ich,,9,0,-
ich arbeite,,9,0,-
ich arbeitete,,9,0,-
ich bin,,9,0,-
ich habe,,9,0,-
ich hatte,,9,0,-
ich lerne,,9,0,-
ich lernte,,9,0,-
ich mache,,9,0,-
ich tanze,,9,0,-
ich war,,9,0,-
ich werde sein (haben),,9,0,-
"ich, er, sie, es; dürfen",,9,0,-
"ich, er, sie, es; können",,9,0,-
"ich, er, sie, es; möchten",,9,0,-
"ich, er, sie, es; mögen",,9,0,-
"ich, er, sie, es; müssen",,9,0,-
"ich, er, sie, es; sollen",,9,0,-
"ich, er, sie, es; wollen",,9,0,-
ie,,9,0,-
ihm,,9,0,-
ihn,,9,0,-
ihnen,,9,0,-
ihr,"Притяжательные Винительный, ср. род, sie_pl",9,0,-
ihr arbeitet,,9,0,-
ihr arbeitetet,,9,0,-
ihr habt,,9,0,-
ihr hattet,,9,0,-
ihr lernt,,9,0,-
ihr lerntet,,9,0,-
ihr macht,,9,0,-
ihr seid,,9,0,-
ihr tanzt,,9,0,-
ihr wart,,9,0,-
ihr werdet sein (haben),,9,0,-
ihr; dürfen,,9,0,-
ihr; können,,9,0,-
ihr; möchten,,9,0,-
ihr; mögen,,9,0,-
ihr; müssen,,9,0,-
ihr; sollen,,9,0,-
ihr; wollen,,9,0,-
ihre,"Притяжательные Винительный, мн. число, sie_pl",9,0,-
ihrem,"Притяжательные Дательный, ср. род, sie_pl",9,0,-
ihren,"Притяжательные Дательный, мн. число, sie_pl",9,0,-
ihrer,"Притяжательные Родительный, мн. число, sie_pl",9,0,-
ihres,"Притяжательные Родительный, ср. род, sie_pl",9,0,-
im,in + dem (в — местоположение),9,0,-
immer,всегда,1,0,
in,(предлог) в / через (со временем),9,0,-
indem,тем что / посредством того что,3,9,
infolge,вследствие,3,9,
innerhalb,в пределах,3,9,
ins,in + das (в — направление),9,0,-
irgendetwas,,9,0,-
irgendwo,где-то,3,9,
ist,,9,0,-
ja,да,1,0,
jeden,,9,0,-
jeder,каждый,1,0,
jemand,кто-то,3,0,
jetzt,сейчас,1,0,
jung,молодой,1,0,
kalt,холодный,3,9,
kannst,,9,0,-
kaufen,покупать,3,0,
kein,никакой / нет,1,0,
keine,,9,0,-
kennen,быть знакомым,3,9,
klar,ясно / конечно,3,0,
klein,маленький,1,0,
klug,умный ,3,9,
kochen,готовить,3,0,
komm,,9,0,-
kommen,"приходить, приезжать",3,0,
kommst,,9,0,-
kontrollieren,контролировать / проверять,3,9,
krank,больной,3,9,
kriegen, получать,3,9,
kurz,короткий,1,0,
können,,9,0,-
lang,длинный,1,0,
lange,долго,1,0,
langsam,медленный,1,0,
lass,позволь / оставь,3,9,
lassen,оставлять / позволять,3,9,
lasst,,9,0,-
laufen,"бегать, ходить",3,9,
laufen - Lauf,,9,0,-
laut,громко,3,0,
leben,жить,3,0,
lecker,вкусный,3,9,
leicht, легкий,3,9,
leider,к сожалению,3,9,
lernen,учить,3,0,
lesen,читать,3,0,
letzte,последний,3,9,
letzter,последний (повторяется),3,9,
lieben,любить,3,0,
links,cлевa [на вопрос «где?»] / на левой стороне / наизнанку / налево / слева,3,9,
los,уходить / отрываться / вперёд!,3,0,
machen,делать,3,0,
mal,раз /-ка (разг. частица),3,0,
malen,рисовать,3,0,
man,кто-то (безлично/неопределённо),3,0,
manchmal,иногда,1,0,
mehr,больше,1,0,
mein,"Притяжательные Винительный, ср. род, ich",9,0,-
mein Buch,,9,0,-
mein Tisch,,9,0,-
meine,"Притяжательные Винительный, мн. число, ich",9,0,-
meine Bücher,,9,0,-
meine Tasche,,9,0,-
meinem,"Притяжательные Дательный, ср. род, ich",9,0,-
meinem Buch,,9,0,-
meinem Tisch,,9,0,-
meinen,"Притяжательные Дательный, мн. число, ich",9,9,-
meinen Büchern,,9,0,-
meinen Tisch,,9,0,-
meiner,"Притяжательные Родительный, мн. число, ich",9,0,-
meiner Bücher,,9,0,-
meiner Tasche,,9,0,-
meines,"Притяжательные Родительный, ср. род, ich",9,0,-
meines Buches,,9,0,-
meines Tisches,,9,0,-
meinst,,9,0,-
mich,,9,0,-
mir,,9,0,-
mit,(предлог) с,9,0,-
mittels,посредством,3,9,
morgen,завтра,1,0,
morgens,по утрам / поутру [разг.] / утром,3,9,
munter,бодрый,3,9,
muss,,9,0,-
musst,,9,0,-
möchten,,9,0,-
mögen,,9,0,-
müde,уставший,3,0,
müssen,,9,0,-
na,,9,0,-
nach,после,9,0,-
nachdem,после того как,3,9,
nachmittags,после обеда [во второй половине дня] / после полудня,3,9,
nachts,ночью / по ночам,3,9,
natürlich,конечно,3,0,
neben,рядом (по соседству) с,1,0,
nebenm,neben + dem (рядом с — местоположение),9,0,-
nebens,neben + das (рядом с — направление),9,0,-
nehmen,брать,3,9,
nein,нет,1,0,
nett,милый,3,0,
neu,новый,1,0,
neun,девятка {ж} / девять,9,0,-
neunzehn,девятнадцать,9,0,-
neunzig,девяносто,9,0,-
nicht,не,1,0,
nichts,ничего,1,0,
nie,никогда,1,0,
niemand,никто,3,0,
noch,ещё,1,0,
nun,теперь,1,9,
nur,только (ограничение; совет),1,0,
nutzen,использовать,3,9,
ob,ли,3,9,
oben,наверху,3,9,
obwohl,хотя,3,9,
oder,или,1,0,
oft,часто,1,0,
ohne,без,9,0,-
"ordentlich, fleißig", прилежный ,3,9,
paar,несколько / пара,3,9,
parken,парковать,3,9,
passieren,происходить,3,9,
per,по (через),3,9,
pf,,9,0,-
prima,отлично,3,0,
pro,"на (в смысле: ""в день"")",3,9,
proben,репетировать,3,0,
pünktlich,вовремя,3,0,
raus,наружу,1,0,
recht,право / правый / прав,3,9,
rechts,вправо [на вопрос «где?»] / справа,3,9,
reden,говорить / беседовать,3,9,
rein,внутрь,1,9,
reinkommen,заходить,3,9,
reparieren,чинить,3,0,
retten,спасать,3,9,
richtig,правильно / верно / правильный,3,9,
rot,красный,3,9,
runter,вниз,1,0,
rücken,ворочать [несов.] [сдвигать с места] / спина {ж} / хребет {м} / надвинуть [сов.],3,9,
sag,,9,0,-
sagen,сказать,3,0,
salzig,солёный,3,9,
sauer,кислый,3,9,
sch,,9,0,-
schade,жаль,3,9,
schaffen,справляться / создавать,3,9,
scharf,острый,3,9,
schauen,смотреть,3,9,
schiff,корабль,3,9,
schlafen,спать,3,0,
schlau,хитрый,3,9,
schlecht,плохо,1,9,
schnell,быстрый,1,0,
schon,уже,1,0,
schreiben,писать,3,9,
schw,,9,0,-
schwarz,вороной / налево [разг.] [незаконно] / чёрный,3,9,
schwer,тяжёлый / сложный,3,9,
schwimmen,плавать,3,9,
schön,красиво,3,0,
sechs,шестёрка {ж} / шесть,9,0,-
sechzehn,шестнадцать,9,0,-
sechzig,шестьдесят,9,0,-
sehen,видеть,3,0,
sehr,очень,1,0,
sein,"Притяжательные Винительный, ср. род, es",9,0,-
seine,"Притяжательные Винительный, мн. число, es",9,0,-
seinem,"Притяжательные Дательный, ср. род, es",9,0,-
seinen,"Притяжательные Дательный, мн. число, es",9,0,-
seiner,"Притяжательные Родительный, мн. число, es",9,0,-
seines,"Притяжательные Родительный, ср. род, es",9,0,-
seit,(длится) начиная с... (в прошлом),9,0,-
selbst,сам,3,9,
selten,редко,1,0,
sich,,9,0,-
sicher,наверняка / безопасно,3,9,
sie,,9,0,-
sie arbeiten,,9,0,-
sie arbeiteten,,9,0,-
sie haben,,9,0,-
sie hatten,,9,0,-
sie lernen,,9,0,-
sie lernten,,9,0,-
sie machen,,9,0,-
sie sind,,9,0,-
sie tanzen,,9,0,-
sie waren,,9,0,-
sie werden sein (haben),,9,0,-
sieben,седмь [устр.] [книжн.] / семёрка {ж} / просеивать [несов.] [через сито] / семь,9,0,-
siebzehn,семнадцать,9,0,-
siebzig,семьдесят,9,0,-
sieh,,9,0,-
sind,,9,0,-
singen,петь,3,0,
sitzen,сидеть,3,0,
so, так / настолько,1,0,
sobald,как только,3,9,
sofern,если только,3,9,
sofort,немедленно,3,9,
solange,пока,1,0,
sollen,,9,0,-
sondern,"а (в значении ""не что то - а что то другое"")",3,9,
soviel,столько,3,9,
sowas,что-то вроде того,3,9,
sp,,9,0,-
spazieren,гулять,3,9,
spielen,играть,3,0,
sprechen,говорить,3,0,
springen - Sprung,,9,0,-
spät,поздно,3,0,
später,позже,3,9,
spülen,мыть,3,9,
st,,9,0,-
stehlen,красть,3,0,
sterben,умирать,3,9,
str,,9,0,-
streng,строгий ,3,9,
studieren,учиться,3,9,
suchen,искать,3,9,
süß,сладкий,3,9,
tanzen,танцевать,3,0,
tausend,тысяча,9,0,-
teuer,дорогой,3,0,
tion,,9,0,-
tja,что ж,1,9,
toll,отлично,3,9,
tot,мертвый,3,0,
tragen,носить,3,0,
traurig,грустный,3,0,
treffen,встречать,3,0,
trennen,отдельно / порознь / раздельный [отдельный],3,9,
trinken,пить,3,0,
trocken,сухой,3,9,
trotzdem,всё же,1,0,
tsch,,9,0,-
tschüss,пока,9,0,-
tun,делать,3,9,
um,вокруг / в (по часам) / о / из-за,9,0,-
ums,um + das (вокруг),9,0,-
und,и,1,0,
uns,,9,0,-
unser,"Притяжательные Винительный, ср. род, wir",9,0,-
unsere,"Притяжательные Винительный, мн. число, wir",9,0,-
unserem,"Притяжательные Дательный, ср. род, wir",9,0,-
unseren,"Притяжательные Дательный, мн. число, wir",9,0,-
unserer,"Притяжательные Родительный, мн. число, wir",9,0,-
unseres,"Притяжательные Родительный, ср. род, wir",9,0,-
unten,внизу,3,9,
unter,под,9,0,-
unter's,"unter + das (под — направление, разговорное)",9,0,-
unterm,unter + dem (под — местоположение),9,0,-
vergessen,забывать,3,0,
verkaufen,продавать,3,9,
verstecken,прятать,3,9,
versuchen,пытаться / пробовать,3,9,
viel,много,1,0,
vieler,,9,0,-
vielleicht,возможно / может быть,3,9,
vier,четвёрка {ж} / четыре,9,0,-
vierzehn,четырнадцать,9,0,-
vierzig,сорок,9,0,-
vom,"von + dem (от, с)",9,0,-
von,от,9,0,-
vor,перед,9,0,-
voran,вперёд,3,9,
voraussichtlich,предположительно / вероятно,3,9,
vorgestern,позавчера,1,0,
vorm,vor + dem (перед — местоположение),9,0,-
vors,vor + das (перед — направление),9,0,-
wachsen,расти,3,9,
wahr,правда / истинный,3,9,
wandern, путешествовать,3,9,
wann,когда,1,0,
war,,9,0,-
warm,тёплый,3,9,
warst,,9,0,-
warten,ждать,3,9,
warum,почему,9,0,-
was,что,1,0,
waschen,"мыть, стирать",3,0,
weder noch, парный союз: ни это ни то,1,9,
weg,прочь,1,0,
wegen,из-за,1,9,
weil,потому что,3,9,
weinen,плакать,3,0,
weiter,дальше,1,0,
wem,кому,1,0,
wen,кого,1,0,
wenig,мало,1,0,
weniger,меньше,1,0,
wenn,если / когда,3,9,
wer,кто,1,0,
werde,,9,0,-
werden,становиться,3,9,
weshalb,по какой причине,9,0,-
wessen,чей,1,0,
weswegen,из-за чего,9,0,-
wichtig,важно / важный / знаменательный / значимый / насущно,3,9,
wie,как,1,0,
wieder,снова,3,9,
wieso,почему (разг. как „warum“),9,0,-
wieviele,сколько (во множественном числе),3,9,
willen,ради,3,9,
willkommen,добро пожаловать,9,0,-
willst,,9,0,-
wir,,9,0,-
wir arbeiten,,9,0,-
wir arbeiteten,,9,0,-
wir haben,,9,0,-
wir hatten,,9,0,-
wir lernen,,9,0,-
wir lernten,,9,0,-
wir machen,,9,0,-
wir sind,,9,0,-
wir tanzen,,9,0,-
wir waren,,9,0,-
wir werden sein (haben),,9,0,-
"wir, sie, Sie; dürfen",,9,0,-
"wir, sie, Sie; können",,9,0,-
"wir, sie, Sie; möchten",,9,0,-
"wir, sie, Sie; mögen",,9,0,-
"wir, sie, Sie; müssen",,9,0,-
"wir, sie, Sie; sollen",,9,0,-
"wir, sie, Sie; wollen",,9,0,-
wird,,9,0,-
wirklich,действительно,3,0,
wirst,,9,0,-
wissen,знать о чём-то,3,9,
wo,где,9,0,-
woan (австр./бавар.),во что,9,0,-
wobei,при чём / во время чего,9,0,-
wodurch,через что / посредством чего,9,0,-
wofür,для чего,9,0,-
wogegen,против чего,9,0,-
woher,откуда,9,0,-
wohin,куда,9,0,-
wohl,пожалуй / вероятно,3,9,
wohnen,жить (проживать в городе),3,0,
wollen,,9,0,-
womit,с чем / с помощью чего,9,0,-
wonach,после чего / чему,9,0,-
woran, о чём,9,0,-
worauf,на чём / на что,9,0,-
woraus,из чего / откуда,9,0,-
worin,в чём,9,0,-
worum,о чём / Из-за чего,9,0,-
worunter,под чем,9,0,-
worüber,о чём / над чем,9,0,-
wovon,от чего / о чём,9,0,-
wozu,для чего / зачем,9,0,-
zahlen,платить / цифры,3,9,
zehn,"десятка {ж} [цифра; игральная карта; о трамвае, автобусе и т. п.] / десять",9,0,-
zu,слишком,9,0,-
zuerst,сначала,1,0,
zuhause,дОма,3,0,
zuletzt / schließlich,в конце концов,1,0,
zum,zu + dem (к),9,0,-
zur,zu + der (к — жен. род),9,0,-
zurück,обратно,1,0,
zusammen,вместе,3,0,
zwanzig,двадцать,9,0,-
zwei,,9,0,-
zwischen,между,9,0,-
zwölf,двенадцать,9,0,-
~answer_language,,9,0,-
~forward,False,9,0,-
~pause,,9,0,-
~question_language,,9,0,-
~reverse,True,9,9,-
Ä,,9,0,-
Ärztin,,9,0,-
Ö,,9,0,-
Österreich,Австрия,3,0,
Ü,,9,0,-
äu,,9,0,-
über,над,9,0,-
überm,über + dem (над — местоположение),9,0,-
übermorgen,послезавтра,1,0,
übern,"über + den (над — муж. род, Akk.)",9,0,-
übers,über + das (над — направление),9,0,-
Анна берет шоколад.,,9,0,-
Анна едет на вокзал. (Dativ),,9,0,-
Анна ищет квартиру.,,9,0,-
Бабушка покупает куклу.,,9,0,-
Берет ли она телефон?,,9,0,-
Берлин — (один) большой город.,,9,0,-
Билеты не покупают.,,9,0,-
Блузка подходит ей.,,9,0,-
Брат придёт через час. (Dativ),,9,0,-
Вам (ihr) можно говорить громко.,,9,0,-
Вам (ihr) следует сделать домашнюю работу.,,9,0,-
Вам (формально) следует помочь.,,9,0,-
Ваш (ihr) отец врач.,,9,0,-
Ваш автомобиль быстрый.,,9,0,-
Ваш будильник звонит в 6 часов.,,9,0,-
Ваш ребёнок плачет слишком громко.,,9,0,-
Ваше мнение важное.,,9,0,-
Ваши дома красивые,,9,0,-
Ваши родители учителя?,,9,0,-
Вечером я иду в театр. (Akkusativ),,9,0,-
Видит ли он комнату?,,9,0,-
Висят на телефоне.,,9,0,-
"Водка горькая, шампанское кислое, пиво холодное. ",,9,0,-
Воспитатель помогает ему.,,9,0,-
Врач тебя обследует.,,9,0,-
Все сидят вокруг стола. (Akkusativ),,9,0,-
Встает ли он рано?,,9,0,-
Вы (Sie) звоните ему.,,9,0,-
Вы (Sie) рассказываете ее историю.,,9,0,-
Вы (Sie) ставите свой чемодан.,,9,0,-
Вы (ihr) готовитесь к празднику в офисе? ,,9,0,-
Вы (ihr) показываете свою фотографию.,,9,0,-
Вы (неформально) можете (нету запрещающего знака) припарковать машину тут.,,9,0,-
Вы (неформально) пишете красиво.,,9,0,-
Вы (неформально) рекомендуете мало.,,9,0,-
Вы (уваж.) знаете женщину.,,9,0,-
Вы (формально) должны прийти вовремя.,,9,0,-
Вы (формально) ездите медленно.,,9,0,-
Вы (формально) заказываете пиццу.,,9,0,-
Вы (формально) много помогаете.,,9,0,-
Вы (формально) можете заходить.,,9,0,-
Вы (формально) помогаете нам (uns).,,9,0,-
Вы (формально) приходите поздно.,,9,0,-
Вы говорите много.,,9,0,-
Вы делаете домашнюю работу.,,9,0,-
Гарри не плавает сегодня.,,9,0,-
Где Вы (формально) живете?,,9,0,-
Где находится многоэтажный дом? ,,9,0,-
Где он остается?,,9,0,-
Где я могу найти кинотеатр?,,9,0,-
Географичиские названия,,9,0,-
Дают кредит.,,9,0,-
Девочка едет сейчас.,,9,0,-
Девочка звонит своей матери.,,9,0,-
Девочка носит кролика.,,9,0,-
Девочка поет песню.,,9,0,-
Девочка покупает еду для кошки. (Akkusativ),,9,0,-
"Девочка покупает рыбу, молоко, лимонад и курочку.",,9,0,-
Девочка сосредотачивается на домашних заданиях.,,9,0,-
Девочка стирает платье.,,9,0,-
Девочка учит слова.,,9,0,-
Девочка хочет куклу.,,9,0,-
Девочке следует учить слова.,,9,0,-
День рождения твоего отца - весной.,,9,0,-
Десерт приходится мне по вкусу.,,9,0,-
Дети идут в школу.,,9,0,-
Дети не умеют читать.,,9,0,-
Дети падают часто.,,9,0,-
Дети растут быстро.,,9,0,-
Для подруги работа не сложная. (Akkusativ),,9,0,-
Друг замечает это.,,9,0,-
Друг играет.,,9,0,-
Друзья бегают много.,,9,0,-
Друзья могут приехать.,,9,0,-
Друзья приезжают вовремя.,,9,0,-
Друзья сегодня уставшие.,,9,0,-
Друзья становятся популярными.,,9,0,-
Его дети уже выросли.,,9,0,-
Его друг идёт в кино.,,9,0,-
Его жена бедная.,,9,0,-
Его сестра усталая.,,9,0,-
Его сестре 34 года.,,9,0,-
Его собака больная.,,9,0,-
Едят корм.,,9,0,-
Ее брат небогат.,,9,0,-
Ее нужно завтра встретить.,,9,0,-
Ездят на велосипеде на работу.,,9,0,-
Ей нельзя поздно гулять.,,9,0,-
Ей следует похудеть.,,9,0,-
"Ей следует сейчас поспешить, так как она может опоздать.",,9,0,-
Ему следует больше заботиться о своих близких. ,,9,0,-
Ему следует больше спать.,,9,0,-
Её мама покупает дом.,,9,0,-
Её муж богатый.,,9,0,-
Её платье длинное и красивое.,,9,0,-
Журналист пишем вам (ihr).,,9,0,-
Здесь не разрешают курить.,,9,0,-
Здесь стоит (какой-то) стол.,,9,0,-
Здесь удивляют вкусными блюдами.,,9,0,-
Знаешь ли ты улицу?,,9,0,-
Знакомый возражает ему.,,9,0,-
Золото дорогое. Серебро доступное (по цене).,,9,0,-
Из какой ты страны?,,9,0,-
Ирина не имеет детей,,9,0,-
Их дом (находится / есть) в деревне.,,9,0,-
Ищете ли вы квартиру?,,9,0,-
Как Вас зовут?,,9,0,-
Как Вы(формально) думаете?,,9,0,-
Как называется страна?,,9,0,-
Как поживает ребенок?,,9,0,-
Какая блузку тебе нужна? Тебе нужна эта блузка.,,9,0,-
Какая девочка его дочь?,,9,0,-
Какая команда популярная? Эта команда популярная.,,9,0,-
Какая комната большая и какая маленькая? - Welches Zimmer ist groß und welches ist klein?,,9,0,-
Какая лампа стоит много? Эта лампа стоит много.,,9,0,-
Какая лестница опасна? Эта лестница опасная.,,9,0,-
Какая собака играет «Комиссара Рекса»?,,9,0,-
Какая теория правильная? Эта теория правильная.,,9,0,-
Какие брюки они покупают в магазине? Эти брюки они покупают в магазине.,,9,0,-
Какие дети играют в теннис?,,9,0,-
Какие книги ты охотно читаешь?,,9,0,-
Какие очки мне подходят? Эти очки мне подходят.,,9,0,-
Какие сериале нравятся Анне?,,9,0,-
Какие сладости едят дети охотно? Эти сладости едят дети охотно.,,9,0,-
Какие сладости он покупает?,,9,0,-
Какие учителя работают онлайн?,,9,0,-
Какие фотографии они смотрят? Эти фотографии они смотрят.,,9,0,-
Какое видео присылает мальчик? Это видео присылает мальчик.,,9,0,-
Какое обследование сейчас необходимо? Это обследование сейчас необходимо.,,9,0,-
Какое правило изучает ученик? Это правило изучает ученик.,,9,0,-
Какое расписание они планируют? Это расписание они планируют.,,9,0,-
Какое упражнение сложное? Это упражнение сложное.,,9,0,-
Какое цепочка красивая? Эта цепочка красивая.,,9,0,-
Какой актёр выиграет Оскар?,,9,0,-
Какой велосипед старый? Этот велосипед старый.,,9,0,-
Какой девочке он дарит куклу? Этой девочке он дарит куклу.,,9,0,-
Какой женщине ты это присылаешь? Этой женщине ты присылаешь это.,,9,0,-
Какой ковер лежит здесь? Этот ковер лежит здесь.,,9,0,-
Какой костюм ты меряешь? Ты меряешь этот костюм.,,9,0,-
Какой кофе ты пьёшь?,,9,0,-
Какой магазин тебе нравится?,,9,0,-
Какой прогноз погоды неправильный? Этот прогноз погоды неправильный.,,9,0,-
